id_student,code_module,code_presentation,totalAssessmentsTaken,meanTMAScore,meanCMAScore,meanExamScore,submittedLate,totalBanked
6516,AAA,2014J,5.0,61.8,,,0.0,0.0
8462,DDD,2013J,3.0,87.66666666666667,,,1.0,0.0
8462,DDD,2014J,4.0,86.5,,,0.0,4.0
11391,AAA,2013J,5.0,82.0,,,0.0,0.0
23629,BBB,2013B,4.0,65.0,100.0,,3.0,0.0
23698,CCC,2014J,9.0,72.5,75.0,80.0,4.0,0.0
23798,BBB,2013J,11.0,88.83333333333333,100.0,,5.0,0.0
24186,GGG,2014B,8.0,60.0,63.333333333333336,,0.0,0.0
24213,DDD,2014B,7.0,79.33333333333333,,58.0,5.0,0.0
24391,GGG,2013J,9.0,80.0,93.33333333333333,,0.0,0.0
24734,AAA,2014J,5.0,46.8,,,4.0,0.0
25107,BBB,2013B,11.0,58.5,100.0,,6.0,0.0
25150,EEE,2014B,4.0,84.25,,,0.0,0.0
25261,CCC,2014J,1.0,,78.0,,1.0,0.0
25572,DDD,2014J,2.0,55.0,,,0.0,0.0
25997,BBB,2014B,2.0,73.0,100.0,,2.0,0.0
26023,GGG,2013J,9.0,64.0,100.0,,0.0,0.0
26192,AAA,2014J,5.0,86.2,,,0.0,0.0
26211,FFF,2014B,12.0,80.4,95.57142857142857,,0.0,0.0
26247,FFF,2013J,1.0,88.0,,,0.0,0.0
26315,BBB,2014J,5.0,51.4,,,0.0,0.0
26734,BBB,2014J,3.0,74.33333333333333,,,2.0,0.0
27116,CCC,2014J,9.0,90.25,95.75,96.0,4.0,0.0
27189,FFF,2014B,12.0,40.4,60.285714285714285,,1.0,0.0
27417,DDD,2013J,4.0,41.0,,,4.0,0.0
27417,DDD,2014J,4.0,60.25,,,0.0,0.0
27683,FFF,2014B,12.0,71.0,90.0,,2.0,0.0
27759,BBB,2013J,11.0,59.5,96.0,,5.0,0.0
27780,EEE,2014B,3.0,60.0,,,0.0,0.0
27891,BBB,2013B,6.0,65.0,73.33333333333333,,4.0,0.0
27891,BBB,2014B,6.0,65.0,73.33333333333333,,0.0,6.0
27935,DDD,2013J,4.0,75.25,,,2.0,0.0
28046,DDD,2013J,7.0,51.0,,40.0,1.0,0.0
28061,AAA,2014J,5.0,77.6,,,1.0,0.0
28400,AAA,2013J,5.0,66.4,,,2.0,0.0
28418,CCC,2014B,2.0,,31.5,,2.0,0.0
28787,CCC,2014J,5.0,,56.0,44.0,4.0,0.0
28808,FFF,2014B,2.0,70.0,,,0.0,0.0
28897,FFF,2014B,12.0,87.8,59.57142857142857,,2.0,0.0
28952,CCC,2014J,2.0,52.0,67.0,,1.0,0.0
29144,BBB,2013B,9.0,63.8,85.0,,6.0,0.0
29335,FFF,2013J,12.0,94.6,90.28571428571429,,0.0,0.0
29411,CCC,2014J,2.0,14.0,0.0,,2.0,0.0
29411,DDD,2013J,7.0,76.16666666666667,,62.0,1.0,0.0
29420,CCC,2014J,8.0,66.66666666666667,85.0,62.0,6.0,0.0
29639,CCC,2014J,9.0,90.75,79.25,74.0,4.0,0.0
29639,EEE,2014B,4.0,83.75,,,0.0,0.0
29764,CCC,2014B,9.0,91.25,86.25,94.0,5.0,0.0
29769,FFF,2013J,6.0,68.75,95.0,,2.0,0.0
29820,CCC,2014B,9.0,89.75,71.75,76.0,5.0,0.0
29820,EEE,2014B,4.0,81.5,,,0.0,0.0
29985,GGG,2014B,9.0,69.0,73.33333333333333,,0.0,0.0
30091,BBB,2013J,10.0,76.0,100.0,,8.0,0.0
30096,CCC,2014J,9.0,88.5,98.0,96.0,4.0,0.0
30531,FFF,2014B,4.0,87.0,87.5,,1.0,0.0
30549,DDD,2013J,1.0,35.0,,,0.0,0.0
30850,CCC,2014J,9.0,99.5,99.0,100.0,4.0,0.0
31014,BBB,2013J,5.0,83.33333333333333,100.0,,2.0,0.0
31107,GGG,2014B,9.0,74.33333333333333,96.66666666666667,,0.0,0.0
31161,CCC,2014J,9.0,95.75,97.25,100.0,4.0,0.0
31173,DDD,2013J,7.0,54.0,,27.0,0.0,0.0
31205,GGG,2014J,4.0,81.0,100.0,,0.0,0.0
31269,DDD,2014B,2.0,56.0,,,0.0,0.0
31296,FFF,2014J,12.0,53.6,75.0,,10.0,0.0
31600,AAA,2014J,5.0,54.8,,,3.0,0.0
31604,AAA,2013J,5.0,76.0,,,0.0,0.0
31663,BBB,2013B,11.0,65.33333333333333,96.0,,6.0,0.0
31849,BBB,2013J,11.0,69.66666666666667,88.0,,8.0,0.0
32221,FFF,2013J,5.0,90.0,88.0,,0.0,0.0
32239,GGG,2013J,8.0,55.0,96.0,,0.0,0.0
32327,BBB,2014J,2.0,31.0,,,0.0,0.0
32885,AAA,2013J,5.0,54.4,,,5.0,0.0
32930,BBB,2014J,5.0,45.0,,,2.0,0.0
33387,DDD,2013J,3.0,59.0,,,0.0,0.0
33600,FFF,2013J,1.0,84.0,,,0.0,0.0
33666,BBB,2013B,4.0,68.0,100.0,,2.0,0.0
33681,DDD,2013J,3.0,76.66666666666667,,,1.0,0.0
33681,DDD,2014J,4.0,75.75,,,0.0,4.0
33796,DDD,2014J,7.0,67.0,,44.0,1.0,0.0
33897,DDD,2013J,1.0,50.0,,,0.0,0.0
33897,DDD,2014J,3.0,56.0,,,0.0,3.0
33915,FFF,2013B,12.0,94.6,89.28571428571429,,0.0,0.0
33930,DDD,2013J,6.0,84.2,,67.0,0.0,0.0
34068,CCC,2014J,3.0,86.0,67.0,,3.0,0.0
34087,DDD,2013J,3.0,84.66666666666667,,,2.0,0.0
34087,DDD,2014J,4.0,84.25,,,0.0,4.0
34229,BBB,2013B,9.0,78.4,100.0,,7.0,0.0
34293,FFF,2014B,2.0,74.0,,,0.0,0.0
34353,BBB,2013B,10.0,81.2,100.0,,5.0,0.0
34431,BBB,2013B,1.0,,80.0,,1.0,0.0
34653,DDD,2013J,3.0,49.0,,,0.0,0.0
34662,BBB,2014J,2.0,34.5,,,0.0,0.0
34731,FFF,2013J,3.0,74.0,79.0,,0.0,0.0
34756,BBB,2013B,3.0,61.0,80.0,,2.0,0.0
34863,BBB,2013B,11.0,62.166666666666664,88.0,,7.0,0.0
35001,GGG,2013J,2.0,75.0,,,0.0,0.0
35340,EEE,2014B,4.0,79.75,,,0.0,0.0
35355,CCC,2014J,5.0,67.0,69.66666666666667,,3.0,0.0
35355,EEE,2013J,4.0,83.5,,,0.0,0.0
35502,DDD,2014B,1.0,66.0,,,0.0,0.0
35508,CCC,2014J,5.0,,81.75,82.0,4.0,0.0
35508,EEE,2014B,4.0,93.5,,,0.0,0.0
35544,FFF,2013B,12.0,83.4,90.57142857142857,,0.0,0.0
35747,FFF,2014J,1.0,54.0,,,0.0,0.0
35796,FFF,2014J,1.0,82.0,,,0.0,0.0
35812,BBB,2013B,1.0,71.0,,,0.0,0.0
35860,FFF,2013B,10.0,80.33333333333333,84.14285714285714,,1.0,0.0
36347,FFF,2014B,11.0,72.75,64.42857142857143,,0.0,0.0
36385,FFF,2013B,5.0,75.0,67.66666666666667,,0.0,0.0
37298,FFF,2013B,11.0,86.25,83.0,,1.0,0.0
37622,BBB,2013J,10.0,69.83333333333333,100.0,,6.0,0.0
37652,CCC,2014J,5.0,,97.5,100.0,4.0,0.0
38053,AAA,2013J,5.0,68.0,,,1.0,0.0
38234,BBB,2013J,7.0,71.0,86.66666666666667,,3.0,0.0
38711,BBB,2014J,4.0,38.75,,,2.0,0.0
38941,BBB,2014B,1.0,77.0,,,1.0,0.0
39208,BBB,2014J,5.0,77.4,,,0.0,0.0
39411,DDD,2013J,1.0,70.0,,,0.0,0.0
39427,DDD,2013J,1.0,84.0,,,0.0,0.0
39655,BBB,2013B,11.0,82.33333333333333,84.0,,5.0,0.0
39660,DDD,2014B,4.0,64.5,,,1.0,0.0
39882,FFF,2014B,11.0,76.25,79.71428571428571,,1.0,0.0
40184,DDD,2013J,7.0,92.66666666666667,,100.0,0.0,0.0
40419,DDD,2013B,2.0,76.0,67.0,,1.0,0.0
40419,DDD,2013J,7.0,72.0,,69.0,0.0,0.0
40563,DDD,2013J,7.0,74.83333333333333,,49.0,0.0,0.0
40604,CCC,2014B,7.0,63.0,80.0,66.0,3.0,0.0
40857,FFF,2014J,1.0,86.0,,,0.0,0.0
40878,FFF,2014J,12.0,88.8,91.85714285714286,,0.0,0.0
41060,DDD,2013B,11.0,80.2,85.0,,6.0,0.0
41414,GGG,2014B,9.0,66.66666666666667,86.66666666666667,,2.0,0.0
41547,BBB,2014J,5.0,61.6,,,0.0,0.0
42552,FFF,2014J,12.0,74.2,68.71428571428571,,0.0,0.0
42616,FFF,2013J,12.0,74.0,84.71428571428571,,2.0,0.0
42638,CCC,2014B,9.0,79.25,62.75,50.0,4.0,0.0
42638,EEE,2013J,4.0,80.75,,,0.0,0.0
42668,FFF,2013B,12.0,77.8,79.28571428571429,,3.0,0.0
42746,CCC,2014J,9.0,96.0,94.75,100.0,4.0,0.0
42746,FFF,2014B,12.0,93.0,94.0,,0.0,0.0
42818,DDD,2013J,1.0,39.0,,,0.0,0.0
43273,FFF,2013B,12.0,72.8,78.28571428571429,,1.0,0.0
43284,DDD,2013B,9.0,68.0,74.2,,6.0,0.0
43430,FFF,2013B,12.0,94.6,80.85714285714286,,0.0,0.0
43564,EEE,2013J,4.0,92.75,,,0.0,0.0
43958,FFF,2013J,5.0,92.0,65.0,,0.0,0.0
43958,FFF,2014J,6.0,90.0,90.33333333333333,,0.0,5.0
45423,FFF,2014J,12.0,54.4,69.71428571428571,,4.0,0.0
45462,AAA,2013J,5.0,68.0,,,2.0,0.0
45642,AAA,2013J,5.0,72.4,,,2.0,0.0
45664,CCC,2014B,3.0,52.0,21.5,,3.0,0.0
45664,DDD,2013B,13.0,56.0,59.0,40.0,6.0,0.0
46016,DDD,2014J,3.0,65.0,,,0.0,0.0
46148,FFF,2014B,12.0,84.2,85.14285714285714,,0.0,0.0
46605,CCC,2014B,9.0,94.25,91.75,98.0,4.0,0.0
46705,CCC,2014J,7.0,78.33333333333333,87.75,,6.0,0.0
46753,DDD,2014B,6.0,63.0,,36.0,2.0,0.0
46812,DDD,2014J,1.0,55.0,,,0.0,0.0
46844,AAA,2014J,5.0,64.8,,,0.0,0.0
47061,EEE,2014J,4.0,70.5,,,2.0,0.0
47063,DDD,2013J,4.0,49.25,,,2.0,0.0
47855,BBB,2013J,11.0,44.166666666666664,48.0,,0.0,11.0
47861,FFF,2014J,12.0,53.4,53.285714285714285,,3.0,0.0
47891,BBB,2014J,3.0,65.66666666666667,,,1.0,0.0
47924,FFF,2013J,2.0,41.0,,,1.0,0.0
48040,BBB,2013J,11.0,61.666666666666664,96.0,,6.0,0.0
48152,DDD,2013J,6.0,53.2,,47.0,2.0,0.0
48503,BBB,2013J,10.0,73.6,80.0,,5.0,0.0
48635,CCC,2014J,1.0,,78.0,,1.0,0.0
48635,FFF,2014B,12.0,82.8,90.28571428571429,,0.0,0.0
49119,CCC,2014B,9.0,94.0,79.0,100.0,5.0,0.0
49119,DDD,2014B,2.0,71.0,,,2.0,0.0
49123,GGG,2014B,9.0,75.33333333333333,90.0,,0.0,0.0
50069,BBB,2014B,6.0,76.33333333333333,93.33333333333333,,4.0,0.0
50263,CCC,2014B,2.0,66.0,20.0,,2.0,0.0
50263,FFF,2013B,12.0,83.2,81.57142857142857,,0.0,0.0
50476,DDD,2014B,6.0,87.8,,87.0,0.0,0.0
50487,FFF,2013J,12.0,82.2,80.28571428571429,,0.0,0.0
50610,DDD,2013J,3.0,87.33333333333333,,,0.0,3.0
